2020-01-14 16:33:22 [main] INFO  LocalStreamEnvironment:108 - Running job on local embedded Flink mini cluster
2020-01-14 16:33:23 [main] INFO  MiniCluster:253 - Starting Flink Mini Cluster
2020-01-14 16:33:23 [main] INFO  MiniCluster:262 - Starting Metrics Registry
2020-01-14 16:33:23 [main] INFO  MetricRegistryImpl:114 - No metrics reporter configured, no metrics will be exposed/reported.
2020-01-14 16:33:23 [main] INFO  MiniCluster:266 - Starting RPC Service(s)
2020-01-14 16:33:23 [flink-akka.actor.default-dispatcher-4] INFO  Slf4jLogger:92 - Slf4jLogger started
2020-01-14 16:33:23 [main] INFO  AkkaRpcServiceUtils:244 - Trying to start actor system at :0
2020-01-14 16:33:23 [flink-metrics-2] INFO  Slf4jLogger:92 - Slf4jLogger started
2020-01-14 16:33:23 [flink-metrics-2] INFO  Remoting:83 - Starting remoting
2020-01-14 16:33:23 [flink-metrics-2] INFO  Remoting:83 - Remoting started; listening on addresses :[akka.tcp://flink-metrics@127.0.1.1:43443]
2020-01-14 16:33:24 [main] INFO  AkkaRpcServiceUtils:256 - Actor system started at akka.tcp://flink-metrics@127.0.1.1:43443
2020-01-14 16:33:24 [main] INFO  AkkaRpcService:223 - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/MetricQueryService .
2020-01-14 16:33:24 [main] INFO  MiniCluster:397 - Starting high-availability services
2020-01-14 16:33:24 [main] INFO  BlobServer:141 - Created BLOB server storage directory /tmp/blobStore-b2490b61-a054-4cd8-b5e7-dcb5e5210a25
2020-01-14 16:33:24 [main] INFO  BlobServer:203 - Started BLOB server at 0.0.0.0:44523 - max concurrent requests: 50 - max backlog: 1000
2020-01-14 16:33:24 [main] INFO  PermanentBlobCache:107 - Created BLOB cache storage directory /tmp/blobStore-c8e2ff1f-7b5c-4f82-a04e-69ad39119ca7
2020-01-14 16:33:24 [main] INFO  TransientBlobCache:107 - Created BLOB cache storage directory /tmp/blobStore-ef7efbab-4753-4040-8e9e-154849fe3b67
2020-01-14 16:33:24 [main] INFO  MiniCluster:479 - Starting 1 TaskManger(s)
2020-01-14 16:33:24 [main] INFO  TaskManagerRunner:351 - Starting TaskManager with ResourceID: d8d3f406-91ed-4bfc-8ab9-8799f0d2050c
2020-01-14 16:33:24 [main] INFO  TaskManagerServices:519 - Temporary file directory '/tmp': total 96 GB, usable 66 GB (68.75% usable)
